FF,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Facebook,P Twitter,P LinkedIn
y,y,y,y,m,Venky ,Harinarayan,SVP Walmart Global eCommerce and Head,@WalmartLabs,SVP Walmart Global eCommerce and Head,6,,speaker,y,"Venky Harinarayan (@venky13) co-founded Kosmix with Anand Rajaraman. Upon the acquisition of Kosmix by Walmart, Venky is SVP Walmart Global eCommerce and Head of @WalmartLabs, which innovates at the intersection of mobile, social and retail. Anand and Venky co-founded Cambrian Ventures and are among the handful of preferred angel investors in Facebook (2005). Venky and Anand also co-founded Junglee (1996) and pioneered Internet comparison shopping. After Amazon’s acquisition of Junglee in 1998 for over $250 million, Venky helped create Amazon.com’s marketplace business, and the concept underlying the Amazon.com Mechanical Turk technology. Venky holds both doctoral and masters degrees in computer science from Stanford and UCLA (respectively), and a bachelor’s degree in computer science from the Indian Institute of Technology, Madras.",,,@venky13,
y,y,y,y,m,Derrick,Harris,Staff Writer,GigaOM,"Staff Writer, GigaOM",,,speaker,y,"Derrick Harris has been covering the distributed computing space since 2003, when he began reporting on grid computing for a publication called GRIDtoday (later renamed On-Demand Enterprise). Derrick joined GigaOM as a contributing writer in 2009 and was one of the original curators for GigaOM Pro, where he continues to serve as a Senior Curator and analyst. Derrick holds a juris doctor degree, cum laude, from the William S. Boyd School of Law at the University of Nevada, Las Vegas.",,,,
y,y,y,y,m,Drew,Houston,Founder and CEO,Dropbox,"Founder and CEO, Dropbox",17,,speaker,y,"Drew Houston is CEO and co-founder of Dropbox, and has led Dropbox's growth from a simple idea to a service relied upon by millions around the world. Drew leads all of Dropbox's activities, and is actively involved in its business and product decisions. Before founding Dropbox in 2007, Drew attended MIT's Course 6 (Computer Science). He took a quick leave from school to form Accolade, an online SAT prep startup, and also worked as a software engineer for Bit9. Drew has recently been named one of Fortune magazine's '40 under 40'. He was also named ""Twentysomething Entrepreneurs"" by Businessweek, as well as Inc. Magazine's ""30 under 30"" for 2011.",,,,
y,y,y,y,m,Mathew,Ingram,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Mathew Ingram is a senior writer with GigaOM. Prior to that he was an award-winning journalist with the Globe and Mail who spent the past 15 years writing about business, technology and new media as a reporter, columnist and blogger. Until January 2010 he was the Globe’s first online Communities Editor, helping the paper and its staff understand and appreciate the benefits of social-media tools such as blogs, comments and Twitter. He also launched the Globe’s ground-breaking Public Policy Wiki, writes for the Nieman Journalism Lab at Harvard University and is one of the founders of Mesh, Canada’s leading Web conference.",,,,
y,y,y,y,m,Salim,Ismail,Executive Director,Singularity University,"Executive Director, Singularity University",15,,speaker,y,"Salim Ismail is a sought-after speaker, strategist and entrepreneur based in Silicon Valley. He travels extensively addressing topics including breakthrough technologies and their impact on a variety of industries. Salim spent the last three years building Singularity University based at NASA Ames and before that built and ran Brickhouse, Yahoo’s internal incubator. His last company, Angstro, was sold to Google in August 2010. He has a unique perspective and track record on how to innovate, how to turn cutting edge ideas into thriving startups and how to apply leading edge thinking to invigorate entire industries.",,www.facebook.com/salimismail,"@salimismail
",
y,y,y,y,m,Ryan,Kim,Staff Writer,GigaOM,"Staff Writer, GigaOM",,,speaker,y,"Ryan has covered personal technology and wireless for the San Francisco Chronicle before joining GigaOM. He is based in New York and covers a number of topics including mobile development, app economies and East Coast start-ups.",,,,
y,y,y,y,m,Jim,Lanzone,President,CBS Interactive,"President, CBS Interactive",7,,speaker,y,"Jim Lanzone is President of CBS Interactive, a division of CBS Corporation (NYSE: CBS) and a top 10 global Internet property with over 250 million users per month.  Jim is responsible for the strategy and operations of CBS Interactive worldwide. Prior to joining CBS Interactive, Lanzone was co-founder and CEO of Clicker.com, the leading Internet television guide. Clicker was acquired by CBS in March 2011. Lanzone is the former CEO of Ask.com (formerly Ask Jeeves), a top 10 global Internet property acquired by IAC/InterActiveCorp in 2005.  Before moving to Ask, Lanzone was co-founder and president of eTour.com, a website discovery service that was acquired by Ask in May 2001. Lanzone holds a B.A. from UCLA and J.D./M.B.A. from Emory University.",,http://www.facebook.com/pages/CBS-Interactive/352860607270,@jlanzone,
y,y,y,y,m,Ryan,Lawler,Staff Writer,GigaOM,"Staff Writer, GigaOM",,,speaker,y,"Ryan Lawler has spent the last 5 years covering business, technology, and telecom-related subjects for a variety of publications based in New York. He’s the newest staff writer for GigaOm and NewTeeVee, but spent the previous two years following online video and digital media trends at Contentinople. Prior to that, Ryan covered telecom infrastructure for Light Reading.",,,,
,y,y,y,m,Ed,Leonard,CTO,DreamWorks Animation,"CTO, DreamWorks Animation",14,,speaker,y,"As Chief Technology Officer for DreamWorks Animation SKG, Ed Leonard is responsible for the overall technical direction of the Company. During his tenure, he has spearheaded a number of advancements and innovations for DreamWorks Animation. Prior to his ten year history in the entertainment industry, Leonard held several engineering positions in the aerospace industry specializing in visual and simulation systems research. He holds degrees in Computer Science/Math from Cal Poly Pomona.",,,,
y,y,y,y,m,Matt ,MacInnis,CEO and Founder,Inkling,"CEO and Founder, Inkling",12,,speaker,y,"Raised in rural Nova Scotia, Matt attended Harvard where he earned a degree in Computer Engineering and Chinese Language. He moved to California and pursued an eight-year career at Apple where he managed the company's international expansion into international education markets. During that time, Matt saw a lot of misuse of technology in the classroom, and in 2009 his frustration drove him to start Inkling. His technical foundation, coupled with his Apple experience, positioned him well to build the company. With a vision for reinventing the textbook, Matt has led Inkling into partnerships with the world's largest publishers, building engaging, interactive learning content from the ground up for iPad. Both Matt and Inkling are based in San Francisco, CA.",,https://www.facebook.com/pages/Inkling/377802230525,@stanine ,http://www.linkedin.com/in/macinnis
y,y,y,y,m,Om,Malik,Founder,GigaOM,"Founder, GigaOM",,,speaker,y,"Om Malik has more than 15 years of experience as a journalist covering technology and business news. He was part of the founding team of Forbes.com as a Senior Editor. He then went on to become a senior writer at Red Herring during its glory days before joining Business 2.0 in March 2003, covering telecom, innovation and broadband stories. His contributions have been published in The Wall Street Journal, The Economist and MIT Technology Review. Additionally, Om is the author of “Broadbandits: Inside the $750 Billion Telecom Heist.” He is also the recipient of many industry awards, including Excellence in Journalism from the Society of Professional Journalists in 2001 and the Gold Award from American Society of Business Publication Editors in 2001.",,,,
y,y,y,y,m,John,Markoff,Reporter,The New York Times,"Reporter, The New York Times",,,speaker,y,"John Markoff, senior writer for The New York Times, writes for the paper's science section. He began writing about technology in 1976 and joined The Times in 1988. He gained some notoriety several years ago when he stated that he thought blogs might be the CB radio of the 21st century. He still believes that.",,,@Markoff,
y,y,y,y,m,Michael,Moritz,General Partner,Sequoia Capital,"General Partner, Sequoia Capital",4,,speaker,y,"Michael Moritz is a Managing Member of Sequoia Capital. He joined Sequoia Capital in 1986 and has served on the boards of Flextronics, Google, PayPal and Yahoo!. He is currently a Director of 24/7 Customer, GameFly, Green Dot, Kayak, Klarna, LinkedIn, and Sugar Inc. Prior to joining Sequoia Capital, Moritz co-founded Technologic Partners and was a correspondent for Time, where he was the San Francisco bureau chief. While at Time he wrote two books – “Going For Broke, The Chrysler Story,” and “The Little Kingdom, the Private Story of Apple Computer.” Moritz graduated from Christ Church, Oxford in 1976 with a MA in History and is an Honorary Student of the College.",,,,http://www.linkedin.com/in/michaelmoritz
y,y,y,y,m,Frank,Moss,"Co-Founder, Bluefin Labs and ","Professor of the Practice, Director of New Media Medicine, MIT Media Lab","Co-Founder, Bluefin Labs and Professor of the Practice, Director of New Media Medicine, MIT Media Lab",5,,speaker,y,"Frank Moss has had a 30-year career as a high tech and biotech entrepreneur. He served as Director of the MIT Media Lab from 2006-2011 and is currently Professor of the Practice there, where he heads the New Media Medicine group. He is also a co-founder of Bluefin Labs. Moss is author of the forthcoming book “The Sorcerers and their Apprentices: How the Digital Magicians of the MIT Media Lab are Creating the Innovative Technologies That Will Transform our Lives” (June 7). Moss served as CEO and chairman of Tivoli Systems Inc, which he took public in 1995 and subsequently merged with IBM in 1996. Moss holds a BSE from Princeton University in Aerospace and Mechanical Sciences and a PhD from MIT in Aeronautics and Astronautics. He is also a member of the School of Engineering and Applied Sciences leadership advisory council; he also serves on the leadership advisory council of the Mayo Clinic Innovation Center.",,http://www.facebook.com/FrankMoss.Author,@frank_moss,
y,y,y,y,m,Matt,Mullenweg,Founder,WordPress/Automattic,"Founder, WordPress/Automattic",11,,speaker,y,"Matt is the founding developer of WordPress, the open source blogging software that runs millions of sites around the world. In 2005, he started Automattic, the company behind WordPress.com, Akismet, Gravatar, bbPress, IntenseDebate, and BuddyPress. Matt lives in San Francisco and has a crush on Audrey Hepburn in Breakfast at Tiffany’s.",,,@photomatt,
y,y,y,y,m,Richard,Nash,"VP, Content & Community",Small Demons,"VP, Content & Community, Small Demons",10,,speaker,y,"Richard Nash is VP of Community and Content of Small Demons, founder of Cursor, and Publisher of Red Lemonade. He ran the iconic indie Soft Skull Press for which work he was awarded the Association of American Publishers' Award for Creativity in Independent Publishing in 2005. Books he published landed on bestseller lists from the Boston Globe to the Singapore Straits-Times; on Best of the Year lists from The Guardian to the Toronto Globe & Mail to the Los Angeles Times; his final book was a 2010 Pulitzer Prize finalist. Last year the Utne Reader named him one of Fifty Visionaries Changing Your World and Mashable.com picked him as the #1 Twitter User Changing the Shape of Publishing.",,http://www.facebook.com/richardeoinnash,@r_nash,http://www.linkedin.com/in/richardnashpublisher
y,y,y,y,m,Hosain,Rahman,CEO and Founder,Jawbone,"CEO and Founder, Jawbone",,,speaker,y,"Hosain Rahman is the CEO and founder of Jawbone, a developer of popular products and services for the mobile lifestyle, and one of the largest venture capital-backed consumer electronics companies in the world. Jawbone’s premium Bluetooth headsets have disrupted the headset market; its JAMBOX wireless portable speaker is the best-selling speaker in North America; and its highly-anticipated UP by Jawbone, a comprehensive mobile health and wellness system that combines a wristband and app for your smartphone, will launch this fall. Hosain is passionate about bringing innovative, intuitive, and elegantly designed products to market that let consumers get the most out of their mobile experience. ",,,,
y,y,y,y,m,Jody,Ranck,Analyst,GigaOM Pro,"Analyst, GigaOM Pro",,,speaker,y,"Jody Ranck has a career in health, development and innovation spanning over 20 years. His current work has emphasized global health, innovation and social media in public health. He is currently on the executive team of the mHealth Alliance at the UN Foundation and consults with a number of organizations such as IntraHealth, Cisco, the UN Economic Commission for Africa, GigaOM, the Qatar Foundation International, the Public Health Institute on ehealth and innovation strategies in global health. He has a doctorate in Health Policy and Administration from UC Berkeley as well as an MA in International Relations and Economics (Johns Hopkins University, SAIS), and a BA in biology from Ithaca College. Some of his honors have included a Fulbright Fellowship (Bangladesh) and serving as a Rotary Fellow in Tunisia (Arabic and Islamic History).",,,,
y,y,y,y,m,Mark,Rolston,Chief Creative Officer,frog,"Chief Creative Officer, frog",8,,speaker,y,"As Chief Creative Officer, Mark Rolston is responsible for driving frog’s global creative vision. Working closely with the creative leadership team, Mark orchestrates teams of strategists, technologists, designers, information architects, and analysts to produce groundbreaking work for Fortune 500 clientele. An early web pioneer, Mark co-founded frog’s digital media group in 1996, working with clients to leverage emerging technologies and setting the tone for user interface design and e-commerce platforms. Today, Mark focuses on the intersection of product, digital, and strategic design, pushing clients to offer truly convergent user experiences. Mark is an internationally recognized expert on digital media, user interface design, e-commerce, and mobile applications.",,,@frogdesign,
y,y,y,y,m,Paul,Sweeting,"Analyst, GigaOM Pro and Founder",Concurrent Media Strategies,"Analyst, GigaOM Pro",,,speaker,y,"Paul Sweeting is founder and principal of Concurrent Media Strategies, a research and consulting firm based in Washington, DC and specializing in media, technology and public policy issues. Prior to launching Concurrent Media he was a reporter and columnist for Variety and the editor of ContentAgenda.com, a digital media web site published by Reed Business Information. Sweeting has spent more than two decades covering the media and technology industries as an analyst and journalist, writing for leading industry publications such as Billboard, Publishers Weekly, Cablevision and Video Business. He joined GigaOM Pro as an analyst in 2009 and now serves as category curator for the Connected Consumer channel within GigaOM Pro.",,http://www.facebook.com/pages/Concurrent-Media/119875038099731?sk=wall,@ConcurrentMedia,http://www.linkedin.com/profile/view?id=890903&trk=tab_pro
y,y,y,y,m,Michael,Wolf,VP Research,GigaOM Pro,"VP Research, GigaOM Pro",,,speaker,y,"Michael Wolf has spent more than 10 years as an industry analyst, starting at In-Stat and launching the company’s consumer networking and digital media research services, and more recently was the digital home practice director for ABI. He’s been a columnist for Network World and has written a book on home networking for consumers. At GigaOM Pro, he oversees overall research efforts and serves as curator for the Connected Consumer.’",,,,
